ticker,company_name,country,ipo_year,market_cap,subsector
REN,Resolute Energy Corporation,United States,,723470000.0,Oil & Gas Production
RFP,Resolute Forest Products Inc.,Canada,,1110000000.0,Paper
RESN,Resonant Inc.,United States,2014.0,117790000.0,Semiconductors
RECN,"Resources Connection, Inc.",United States,2000.0,512360000.0,Business Services
QSR,Restaurant Brands International Inc.,Canada,2014.0,15530000000.0,Restaurants
HAIR,"Restoration Robotics, Inc.",United States,2017.0,49530000.0,Medical/Dental Instruments
TORC,"resTORbio, Inc.",United States,2018.0,292240000.0,Major Pharmaceuticals
ROIC,Retail Opportunity Investments Corp.,United States,,2150000000.0,Real Estate Investment Trusts
RPAI,"Retail Properties of America, Inc.",United States,2012.0,2700000000.0,Real Estate Investment Trusts
RVI,Retail Value Inc.,,2018.0,,Real Estate
RETO,"ReTo Eco-Solutions, Inc.",China,2017.0,86720000.0,Industrial Machinery/Components
RVP,"Retractable Technologies, Inc.",United States,,23810000.0,Medical/Dental Instruments
RTRX,"Retrophin, Inc.",United States,,1080000000.0,Major Pharmaceuticals
REVG,"REV Group, Inc.",United States,2017.0,1120000000.0,Auto Manufacturing
RVNC,"Revance Therapeutics, Inc.",United States,2014.0,985810000.0,Major Pharmaceuticals
RVEN,"Reven Housing REIT, Inc.",United States,,42540000.0,Real Estate Investment Trusts
REV,"Revlon, Inc.",United States,1996.0,918700000.0,Package Goods/Cosmetics
RVLT,"Revolution Lighting Technologies, Inc.",United States,,51660000.0,Building Products
RWLK,ReWalk Robotics Ltd,Israel,2014.0,32210000.0,Industrial Specialties
REX,REX American Resources Corporation,United States,,485430000.0,Major Chemicals
RNN,"Rexahn Pharmaceuticals, Inc.",United States,,50490000.0,Major Pharmaceuticals
REXR,"Rexford Industrial Realty, Inc.",United States,2013.0,2540000000.0,Real Estate Investment Trusts
REXR^A,"Rexford Industrial Realty, Inc.",United States,,,
REXR^B,"Rexford Industrial Realty, Inc.",United States,,,
RXN,Rexnord Corporation,United States,2012.0,3020000000.0,Industrial Machinery/Components
RXN^A,Rexnord Corporation,United States,,,
RFIL,"RF Industries, Ltd.",United States,,98470000.0,Electrical Products
RGCO,RGC Resources Inc.,United States,,224790000.0,Oil & Gas Production
RH,RH,United States,2012.0,3310000000.0,Other Specialty Stores
RYTM,"Rhythm Pharmaceuticals, Inc.",United States,2017.0,817100000.0,Major Pharmaceuticals
RBBN,Ribbon Communications Inc.,United States,,787940000.0,EDP Services
RIBT,RiceBran Technologies,United States,,70560000.0,Packaged Foods
RIBTW,RiceBran Technologies,United States,,,Packaged Foods
RELL,"Richardson Electronics, Ltd.",United States,1983.0,118980000.0,Electronic Components
RIGL,"Rigel Pharmaceuticals, Inc.",United States,2000.0,451480000.0,Major Pharmaceuticals
RNET,"RigNet, Inc.",United States,2010.0,264310000.0,Telecommunications Equipment
RMNI,"Rimini Street, Inc.",United States,2015.0,378040000.0,Business Services
REI,"Ring Energy, Inc.",United States,,725260000.0,Oil & Gas Production
RNG,"Ringcentral, Inc.",,2013.0,7050000000.0,EDP Services
RIO,Rio Tinto Plc,Australia,2002.0,85510000000.0,Precious Metals
RIOT,"Riot Blockchain, Inc",United States,,89610000.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances
REDU,RISE Education Cayman Ltd,China,2017.0,689870000.0,Other Consumer Services
RBA,Ritchie Bros. Auctioneers Incorporated,Canada,,4059999999.9999995,Business Services
RAD,Rite Aid Corporation,United States,,1430000000.0,Medical/Nursing Services
RTTR,"Ritter Pharmaceuticals, Inc.",United States,2015.0,10090000.0,Major Pharmaceuticals
RMPL^,RiverNorth Marketplace Lending Corporation,,,,
RIV,"RiverNorth Opportunities Fund, Inc.",,2015.0,106540000.0,
OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",United States,2016.0,191750000.0,
RVSB,Riverview Bancorp Inc,United States,,207870000.0,Savings Institutions
RIVE,Riverview Financial Corporation,United States,,,
RLI,RLI Corp.,United States,,3410000000.0,Property-Casualty Insurers
RLJE,"RLJ Entertainment, Inc.",United States,,93550000.0,Movies/Entertainment
RLJ,RLJ Lodging Trust,United States,2011.0,3760000000.0,Real Estate Investment Trusts
RLJ^A,RLJ Lodging Trust,United States,,,
RMGN,RMG Networks Holding Corporation,United States,,12500000.0,Business Services
RIF,RMR Real Estate Income Fund,United States,,187920000.0,
RRTS,"Roadrunner Transportation Systems, Inc",United States,2010.0,72780000.0,Oil Refining/Marketing
RHI,Robert Half International Inc.,United States,,9620000000.0,Professional Services
RCKT,"Rocket Pharmaceuticals, Inc.",United States,2015.0,781710000.0,Major Pharmaceuticals
ROK,"Rockwell Automation, Inc.",United States,,21650000000.0,Industrial Machinery/Components
COL,"Rockwell Collins, Inc.",United States,,22250000000.0,Military/Government/Technical
RMTI,"Rockwell Medical, Inc.",United States,1998.0,244860000.0,Biotechnology: Electromedical & Electrotherapeutic Apparatus
RCKY,"Rocky Brands, Inc.",United States,1993.0,231460000.0,Shoe Manufacturing
RMCF,"Rocky Mountain Chocolate Factory, Inc.",United States,,61060000.0,Specialty Foods
RCI,"Rogers Communication, Inc.",Canada,,21000000000.0,Television Services
ROG,Rogers Corporation,United States,,2390000000.0,Major Chemicals
ROKU,"Roku, Inc.",United States,2017.0,5670000000.0,Television Services
ROL,"Rollins, Inc.",United States,,12380000000.0,Diversified Commercial Services
ROP,"Roper Technologies, Inc.",United States,1992.0,30420000000.0,Industrial Machinery/Components
ROSE,Rosehill Resources Inc.,United States,2016.0,295320000.0,Oil & Gas Production
